"","警察機關查獲毒品嫌疑犯人數─按職業狀況別分"
"","總計 / 職業別總計 ","總計 / 民意代表、主管及經理人員 ","總計 / 專業人員 ","總計 / 技術員及助理專業人員 ","總計 / 事務支援人員 ","總計 / 服務(不含保安)工作人員 ","總計 / 銷售及展示工作人員 ","總計 / 農、林、漁、牧業生產人員 ","總計 / 保安服務工作人員(含軍人) ","總計 / 技藝(技術)有關工作人員 ","總計 / 駕駛及移運設備操作人員 ","總計 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","總計 / 基層技術工及勞力工 ","總計 / 學生 ","總計 / 無職 ","總計 / 其他(含不詳) ","男 / 職業別總計 ","男 / 民意代表、主管及經理人員 ","男 / 專業人員 ","男 / 技術員及助理專業人員 ","男 / 事務支援人員 ","男 / 服務(不含保安)工作人員 ","男 / 銷售及展示工作人員 ","男 / 農、林、漁、牧業生產人員 ","男 / 保安服務工作人員(含軍人) ","男 / 技藝(技術)有關工作人員 ","男 / 駕駛及移運設備操作人員 ","男 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","男 / 基層技術工及勞力工 ","男 / 學生 ","男 / 無職 ","男 / 其他(含不詳) ","女 / 職業別總計 ","女 / 民意代表、主管及經理人員 ","女 / 專業人員 ","女 / 技術員及助理專業人員 ","女 / 事務支援人員 ","女 / 服務(不含保安)工作人員 ","女 / 銷售及展示工作人員 ","女 / 農、林、漁、牧業生產人員 ","女 / 保安服務工作人員(含軍人) ","女 / 技藝(技術)有關工作人員 ","女 / 駕駛及移運設備操作人員 ","女 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","女 / 基層技術工及勞力工 ","女 / 學生 ","女 / 無職 ","女 / 其他(含不詳) "
"103年","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 1月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 2月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 3月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 4月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 5月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 6月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 7月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 8月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 9月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 10月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 11月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"
"103年 12月","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -","      -"

